Route (r),Time Block (t),Route type,"Old ridership (x_old,r,t)",Trip length km (L_r),"Average length hr (T_r,t)","Old frequency of buses (f_old,r,t)","Old number of buses (n_old,r,t) - continuous","Old number of buses (n_old,r,t) - discrete","Time block hr (H_block,t)",Driver horuly wage rate $/hr (W_driver),Price of fuel $/litre (P_fuel),Fuel consumption (FC),Maintenace cost $/km (P_maintenance),Passenger hourly wage rate $/hr (W_passenger),VTTS fraction of passenger wage (F_wage),"Emission intensity of a car kgCO2eq/KPT (I_GHG,car)",Average Length of passenger trip (L_avg_trip),Social cost of carbon $/tonne CO2eq (SCC)," Vehicle-miles saved per 1 km  of passenger km travelled (V_km,saved)",,
25,Night,Frequent,209,22.0,0.507,1,0.507,1,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,4.4,0.275,5.8,,
26,Early AM,Local,24,8.5,0.125,0.286,0.03575,1,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,1.7,0.275,5.8,,
26,AM Peak,Local,137,8.5,0.173,2,0.346,1,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,1.7,0.275,5.8,,
26,Midday,Local,180,8.5,0.215,0.833,0.179095,1,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,1.7,0.275,5.8,,
26,PM Peak,Local,65,8.5,0.156,2,0.312,1,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,1.7,0.275,5.8,,
26,Evening,Local,33,8.5,0,0,0,0,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,1.7,0.275,5.8,,
26,Night,Local,18,8.5,0,0,0,0,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,1.7,0.275,5.8,,
27,Early AM,Cancelled ,10,,,,,,,,,,,,,,,,,,
27,AM Peak,Cancelled ,73,,,,,,,,,,,,,,,,,,
27,Midday,Cancelled ,50,,,,,,,,,,,,,,,,,,
27,PM Peak,Cancelled ,77,,,,,,,,,,,,,,,,,,
27,Evening,Cancelled ,0,,,,,,,,,,,,,,,,,,
27,Night,Cancelled ,0,,,,,,,,,,,,,,,,,,
28,Early AM,Cancelled ,5,,,,,,,,,,,,,,,,,,
28,AM Peak,Cancelled ,227,,,,,,,,,,,,,,,,,,
28,Midday,Cancelled ,433,,,,,,,,,,,,,,,,,,
28,PM Peak,Cancelled ,193,,,,,,,,,,,,,,,,,,
28,Evening,Cancelled ,33,,,,,,,,,,,,,,,,,,
28,Night,Cancelled ,5,,,,,,,,,,,,,,,,,,
30,Early AM,Local,79,18.7,0.422,0.857,0.361654,1,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,3.74,0.275,5.8,,
30,AM Peak,Local,485,18.7,0.495,3.96,1.9602,2,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,3.74,0.275,5.8,,
30,Midday,Local,570,18.7,0.462,2.367,1.093554,2,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,3.74,0.275,5.8,,
30,PM Peak,Local,670,18.7,0.496,3.743,1.856528,2,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,3.74,0.275,5.8,,
30,Evening,Local,207,18.7,0.395,2.089,0.825155,1,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,3.74,0.275,5.8,,
30,Night,Local,76,18.7,0,0,0,0,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,3.74,0.275,5.8,,
31,Early AM,Local,0,14.8,0.483,0.286,0.138138,1,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,2.96,0.275,5.8,,
31,AM Peak,Local,24,14.8,0.545,2.52,1.3734,2,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,2.96,0.275,5.8,,
31,Midday,Local,6,14.8,0.517,2.45,1.26665,2,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,2.96,0.275,5.8,,
31,PM Peak,Local,27,14.8,0.56,2.915,1.6324,2,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,2.96,0.275,5.8,,
31,Evening,Local,0,14.8,0.457,2,0.914,1,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,2.96,0.275,5.8,,
31,Night,Local,0,14.8,0.467,0.25,0.11675,1,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,2.96,0.275,5.8,,
32,Early AM,Local,18,22.9,0.6,0.571,0.3426,1,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,4.58,0.275,5.8,,
32,AM Peak,Local,146,22.9,0.7,2.48,1.736,2,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,4.58,0.275,5.8,,
32,Midday,Local,138,22.9,0.583,0.167,0.097361,1,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,4.58,0.275,5.8,,
32,PM Peak,Local,86,22.9,0.705,2.286,1.61163,2,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,4.58,0.275,5.8,,
32,Evening,Local,9,22.9,0.617,0.222,0.136974,1,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,4.58,0.275,5.8,,
32,Night,Local,0,22.9,0,0,0,0,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,4.58,0.275,5.8,,
33,Early AM,Local,53,21.2,0.628,0.429,0.269412,1,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,4.24,0.275,5.8,,
33,AM Peak,Local,303,21.2,0.586,3.72,2.17992,3,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,4.24,0.275,5.8,,
33,Midday,Local,173,21.2,0.37,2.416,0.89392,1,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,4.24,0.275,5.8,,
33,PM Peak,Local,257,21.2,0.595,2.8,1.666,2,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,4.24,0.275,5.8,,
33,Evening,Local,44,21.2,0.569,1.667,0.948523,1,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,4.24,0.275,5.8,,
