Route (r),Time Block (t),Route type,"Old ridership (x_old,r,t)",Trip length km (L_r),"Average length hr (T_r,t)","Old frequency of buses (f_old,r,t)","Old number of buses (n_old,r,t) - continuous","Old number of buses (n_old,r,t) - discrete","Time block hr (H_block,t)",Driver horuly wage rate $/hr (W_driver),Price of fuel $/litre (P_fuel),Fuel consumption (FC),Maintenace cost $/km (P_maintenance),Passenger hourly wage rate $/hr (W_passenger),VTTS fraction of passenger wage (F_wage),"Emission intensity of a car kgCO2eq/KPT (I_GHG,car)",Average Length of passenger trip (L_avg_trip),Social cost of carbon $/tonne CO2eq (SCC)," Vehicle-miles saved per 1 km  of passenger km travelled (V_km,saved)",,
231,Midday,Cancelled,0,,,,,,,,,,,,,,,,,,
231,PM Peak,Cancelled,28,,,,,,,,,,,,,,,,,,
231,Evening,Cancelled,6,,,,,,,,,,,,,,,,,,
231,Night,Cancelled,0,,,,,,,,,,,,,,,,,,
232,Early AM,Cancelled,11,,,,,,,,,,,,,,,,,,
232,AM Peak,Cancelled,79,,,,,,,,,,,,,,,,,,
232,Midday,Cancelled,0,,,,,,,,,,,,,,,,,,
232,PM Peak,Cancelled,60,,,,,,,,,,,,,,,,,,
232,Evening,Cancelled,4,,,,,,,,,,,,,,,,,,
232,Night,Cancelled,0,,,,,,,,,,,,,,,,,,
234,Early AM,Connexion,26,19.7,0.558,0.571,0.318618,1,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,3.94,0.275,5.8,,
234,AM Peak,Connexion,129,19.7,0.629,2.48,1.55992,2,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,3.94,0.275,5.8,,
234,Midday,Connexion,0,19.7,0,0,0,0,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,3.94,0.275,5.8,,
234,PM Peak,Connexion,114,19.7,0.688,2.571,1.768848,2,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,3.94,0.275,5.8,,
234,Evening,Connexion,10,19.7,0,0,0,0,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,3.94,0.275,5.8,,
234,Night,Connexion,0,19.7,0,0,0,0,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,3.94,0.275,5.8,,
236,Early AM,Cancelled,39,,,,,,,,,,,,,,,,,,
236,AM Peak,Cancelled,161,,,,,,,,,,,,,,,,,,
236,Midday,Cancelled,0,,,,,,,,,,,,,,,,,,
236,PM Peak,Cancelled,177,,,,,,,,,,,,,,,,,,
236,Evening,Cancelled,22,,,,,,,,,,,,,,,,,,
236,Night,Cancelled,0,,,,,,,,,,,,,,,,,,
237,Early AM,Connexion,12,15.2,0.417,0.286,0.119262,1,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,3.04,0.275,5.8,,
237,AM Peak,Connexion,42,15.2,0.461,1.6,0.7376,1,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,3.04,0.275,5.8,,
237,Midday,Connexion,0,15.2,0,0,0,0,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,3.04,0.275,5.8,,
237,PM Peak,Connexion,31,15.2,0.517,1.2,0.6204,1,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,3.04,0.275,5.8,,
237,Evening,Connexion,5,15.2,0,0,0,0,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,3.04,0.275,5.8,,
237,Night,Connexion,0,15.2,0,0,0,0,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,3.04,0.275,5.8,,
252,Early AM,Cancelled,31,,,,,,,,,,,,,,,,,,
252,AM Peak,Cancelled,85,,,,,,,,,,,,,,,,,,
252,Midday,Cancelled,0,,,,,,,,,,,,,,,,,,
252,PM Peak,Cancelled,103,,,,,,,,,,,,,,,,,,
252,Evening,Cancelled,8,,,,,,,,,,,,,,,,,,
252,Night,Cancelled,0,,,,,,,,,,,,,,,,,,
256,Early AM,Connexion,7,30.9,0.851,0.857,0.729307,1,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,6.18,0.275,5.8,,
256,AM Peak,Connexion,145,30.9,0.916,2.4,2.1984,3,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,6.18,0.275,5.8,,
256,Midday,Connexion,0,30.9,0.917,0.167,0.153139,1,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,6.18,0.275,5.8,,
256,PM Peak,Connexion,134,30.9,1.054,2.743,2.891122,3,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,6.18,0.275,5.8,,
256,Evening,Connexion,11,30.9,1.033,0.222,0.229326,1,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,6.18,0.275,5.8,,
256,Night,Connexion,0,30.9,0,0,0,0,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,6.18,0.275,5.8,,
257,Early AM,Cancelled,33,,,,,,,,,,,,,,,,,,
257,AM Peak,Cancelled,134,,,,,,,,,,,,,,,,,,
257,Midday,Cancelled,33,,,,,,,,,,,,,,,,,,
257,PM Peak,Cancelled,152,,,,,,,,,,,,,,,,,,
257,Evening,Cancelled,9,,,,,,,,,,,,,,,,,,
257,Night,Cancelled,0,,,,,,,,,,,,,,,,,,
258,Early AM,Cancelled,7,,,,,,,,,,,,,,,,,,
258,AM Peak,Cancelled,25,,,,,,,,,,,,,,,,,,
258,Midday,Cancelled,6,,,,,,,,,,,,,,,,,,
258,PM Peak,Cancelled,24,,,,,,,,,,,,,,,,,,
258,Evening,Cancelled,2,,,,,,,,,,,,,,,,,,
258,Night,Cancelled,0,,,,,,,,,,,,,,,,,,
261,Early AM,Connexion,11,32.5,0.75,0.571,0.42825,1,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,6.5,0.275,5.8,,
261,AM Peak,Connexion,70,32.5,0.9,1.68,1.512,2,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,6.5,0.275,5.8,,
261,Midday,Connexion,0,32.5,0,0,0,0,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,6.5,0.275,5.8,,
261,PM Peak,Connexion,69,32.5,0.917,1.771,1.624007,2,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,6.5,0.275,5.8,,
261,Evening,Connexion,0,32.5,0,0,0,0,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,6.5,0.275,5.8,,
261,Night,Connexion,0,32.5,0,0,0,0,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,6.5,0.275,5.8,,
262,Early AM,Connexion,23,34.4,0.817,0.571,0.466507,1,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,6.88,0.275,5.8,,
262,AM Peak,Connexion,77,34.4,0.925,1.28,1.184,2,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,6.88,0.275,5.8,,
262,Midday,Connexion,0,34.4,0,0,0,0,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,6.88,0.275,5.8,,
262,PM Peak,Connexion,100,34.4,1.004,2.057,2.065228,3,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,6.88,0.275,5.8,,
262,Evening,Connexion,6,34.4,0.983,0.222,0.218226,1,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,6.88,0.275,5.8,,
262,Night,Connexion,0,34.4,0,0,0,0,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,6.88,0.275,5.8,,
263,Early AM,Connexion,10,45.2,1.017,0.286,0.290862,1,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,9.04,0.275,5.8,,
263,AM Peak,Connexion,22,45.2,1.1,0.88,0.968,1,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,9.04,0.275,5.8,,
263,Midday,Connexion,0,45.2,0,0,0,0,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,9.04,0.275,5.8,,
263,PM Peak,Connexion,30,45.2,1.221,1.543,1.884003,2,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,9.04,0.275,5.8,,
263,Evening,Connexion,7,45.2,0,0,0,0,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,9.04,0.275,5.8,,
263,Night,Connexion,0,45.2,0,0,0,0,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,9.04,0.275,5.8,,
264,Early AM,Cancelled,7,,,,,,,,,,,,,,,,,,
264,AM Peak,Cancelled,38,,,,,,,,,,,,,,,,,,
264,Midday,Cancelled,0,,,,,,,,,,,,,,,,,,
264,PM Peak,Cancelled,42,,,,,,,,,,,,,,,,,,
264,Evening,Cancelled,5,,,,,,,,,,,,,,,,,,
264,Night,Cancelled,0,,,,,,,,,,,,,,,,,,
265,Early AM,Connexion,7,32.6,0.956,0.571,0.545876,1,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,6.52,0.275,5.8,,
265,AM Peak,Connexion,32,32.6,1.06,2.96,3.1376,4,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,6.52,0.275,5.8,,
265,Midday,Connexion,0,32.6,0,0,0,0,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,6.52,0.275,5.8,,
265,PM Peak,Connexion,15,32.6,1.061,2.4,2.5464,3,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,6.52,0.275,5.8,,
265,Evening,Connexion,0,32.6,0.983,0,0,0,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,6.52,0.275,5.8,,
265,Night,Connexion,0,32.6,0,0,0,0,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,6.52,0.275,5.8,,
267,Early AM,Cancelled,14,,,,,,,,,,,,,,,,,,
267,AM Peak,Cancelled,106,,,,,,,,,,,,,,,,,,
267,Midday,Cancelled,0,,,,,,,,,,,,,,,,,,
267,PM Peak,Cancelled,100,,,,,,,,,,,,,,,,,,
267,Evening,Cancelled,3,,,,,,,,,,,,,,,,,,
267,Night,Cancelled,0,,,,,,,,,,,,,,,,,,
268,Early AM,Cancelled,9,,,,,,,,,,,,,,,,,,
268,AM Peak,Cancelled,121,,,,,,,,,,,,,,,,,,
268,Midday,Cancelled,0,,,,,,,,,,,,,,,,,,
268,PM Peak,Cancelled,62,,,,,,,,,,,,,,,,,,
268,Evening,Cancelled,6,,,,,,,,,,,,,,,,,,
268,Night,Cancelled,0,,,,,,,,,,,,,,,,,,
270,Early AM,Cancelled,14,,,,,,,,,,,,,,,,,,
270,AM Peak,Cancelled,48,,,,,,,,,,,,,,,,,,
270,Midday,Cancelled,0,,,,,,,,,,,,,,,,,,
270,PM Peak,Cancelled,66,,,,,,,,,,,,,,,,,,
270,Evening,Cancelled,5,,,,,,,,,,,,,,,,,,
270,Night,Cancelled,0,,,,,,,,,,,,,,,,,,
271,Early AM,Cancelled,14,,,,,,,,,,,,,,,,,,
271,AM Peak,Cancelled,167,,,,,,,,,,,,,,,,,,
271,Midday,Cancelled,0,,,,,,,,,,,,,,,,,,
271,PM Peak,Cancelled,99,,,,,,,,,,,,,,,,,,
271,Evening,Cancelled,6,,,,,,,,,,,,,,,,,,
271,Night,Cancelled,0,,,,,,,,,,,,,,,,,,
272,Early AM,Cancelled,12,,,,,,,,,,,,,,,,,,
272,AM Peak,Cancelled,162,,,,,,,,,,,,,,,,,,
272,Midday,Cancelled,0,,,,,,,,,,,,,,,,,,
272,PM Peak,Cancelled,136,,,,,,,,,,,,,,,,,,
272,Evening,Cancelled,10,,,,,,,,,,,,,,,,,,
272,Night,Cancelled,0,,,,,,,,,,,,,,,,,,
273,Early AM,Cancelled,10,,,,,,,,,,,,,,,,,,
273,AM Peak,Cancelled,134,,,,,,,,,,,,,,,,,,
273,Midday,Cancelled,0,,,,,,,,,,,,,,,,,,
273,PM Peak,Cancelled,123,,,,,,,,,,,,,,,,,,
273,Evening,Cancelled,7,,,,,,,,,,,,,,,,,,
273,Night,Cancelled,0,,,,,,,,,,,,,,,,,,
277,Early AM,Connexion,27,22.2,0.791,0.571,0.451661,1,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,4.44,0.275,5.8,,
277,AM Peak,Connexion,234,22.2,0.838,2,1.676,2,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,4.44,0.275,5.8,,
277,Midday,Connexion,23,22.2,0.867,0.333,0.288711,1,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,4.44,0.275,5.8,,
277,PM Peak,Connexion,121,22.2,0.855,2.343,2.003265,3,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,4.44,0.275,5.8,,
277,Evening,Connexion,9,22.2,0,0,0,0,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,4.44,0.275,5.8,,
277,Night,Connexion,0,22.2,0,0,0,0,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,4.44,0.275,5.8,,
278,Early AM,Cancelled,15,,,,,,,,,,,,,,,,,,
278,AM Peak,Cancelled,184,,,,,,,,,,,,,,,,,,
278,Midday,Cancelled,0,,,,,,,,,,,,,,,,,,
278,PM Peak,Cancelled,133,,,,,,,,,,,,,,,,,,
278,Evening,Cancelled,7,,,,,,,,,,,,,,,,,,
278,Night,Cancelled,0,,,,,,,,,,,,,,,,,,
282,Early AM,Cancelled,23,,,,,,,,,,,,,,,,,,
282,AM Peak,Cancelled,109,,,,,,,,,,,,,,,,,,
282,Midday,Cancelled,0,,,,,,,,,,,,,,,,,,
282,PM Peak,Cancelled,93,,,,,,,,,,,,,,,,,,
282,Evening,Cancelled,9,,,,,,,,,,,,,,,,,,
282,Night,Cancelled,0,,,,,,,,,,,,,,,,,,
283,Early AM,Connexion,4,44.8,0.892,0.571,0.509332,1,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,8.96,0.275,5.8,,
283,AM Peak,Connexion,21,44.8,0.6,0.4,0.24,1,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,8.96,0.275,5.8,,
283,Midday,Connexion,0,44.8,0,0,0,0,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,8.96,0.275,5.8,,
283,PM Peak,Connexion,25,44.8,0.8,1.2,0.96,1,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,8.96,0.275,5.8,,
283,Evening,Connexion,0,44.8,0,0,0,0,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,8.96,0.275,5.8,,
283,Night,Connexion,0,44.8,0,0,0,0,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,8.96,0.275,5.8,,
290,Early AM,Cancelled,0,,,,,,,,,,,,,,,,,,
290,AM Peak,Cancelled,121,,,,,,,,,,,,,,,,,,
290,Midday,Cancelled,0,,,,,,,,,,,,,,,,,,
290,PM Peak,Cancelled,77,,,,,,,,,,,,,,,,,,
290,Evening,Cancelled,12,,,,,,,,,,,,,,,,,,
290,Night,Cancelled,0,,,,,,,,,,,,,,,,,,
291,Early AM,Cancelled,15,,,,,,,,,,,,,,,,,,
291,AM Peak,Cancelled,137,,,,,,,,,,,,,,,,,,
291,Midday,Cancelled,0,,,,,,,,,,,,,,,,,,
291,PM Peak,Cancelled,121,,,,,,,,,,,,,,,,,,
291,Evening,Cancelled,14,,,,,,,,,,,,,,,,,,
291,Night,Cancelled,0,,,,,,,,,,,,,,,,,,
294,Early AM,Connexion,11,7.0,0,0,0,0,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,1.4,0.275,5.8,,
294,AM Peak,Connexion,201,7.0,0.267,2.8,0.7476,1,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,1.4,0.275,5.8,,
294,Midday,Connexion,0,7.0,0,0,0,0,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,1.4,0.275,5.8,,
294,PM Peak,Connexion,234,7.0,0.267,1.543,0.411981,1,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,1.4,0.275,5.8,,
294,Evening,Connexion,0,7.0,0,0,0,0,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,1.4,0.275,5.8,,
294,Night,Connexion,0,7.0,0,0,0,0,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,1.4,0.275,5.8,,
299,Early AM,Connexion,0,13.1,0.383,0.343,0.131369,1,3.5,34.04,1.3,0.198,0.4,35.06,0.7,0.295,2.62,0.275,5.8,,
299,AM Peak,Connexion,121,13.1,0.27,1.6,0.432,1,2.5,34.04,1.3,0.242,0.4,35.06,1,0.33,2.62,0.275,5.8,,
299,Midday,Connexion,0,13.1,0.1,0.167,0.0167,1,6,34.04,1.3,0.22,0.4,35.06,0.7,0.3,2.62,0.275,5.8,,
299,PM Peak,Connexion,44,13.1,0.425,0.914,0.38845,1,3.5,34.04,1.3,0.242,0.4,35.06,1,0.33,2.62,0.275,5.8,,
299,Evening,Connexion,0,13.1,0,0,0,0,4.5,34.04,1.3,0.22,0.4,35.06,0.7,0.3,2.62,0.275,5.8,,
299,Night,Connexion,0,13.1,0,0,0,0,4,34.04,1.3,0.198,0.4,35.06,0.7,0.295,2.62,0.275,5.8,,
